pathetic 可憐
brat 小子
appearance 出現
illusion 錯覺
finale 壓軸
sickening 令人作嘔
terror 恐怖
mansion 大廈
innovators 創新
conceptualized 概念化
optimizing 優化
despair 絕望
entrusted 委託
destination 目的地
terrorism 恐怖主義
chaos 混沌
ambition 志向
stabbings 刺傷
horrendous 可怕
grasp 把握
incident 事件
conference 會議
cabinet 內閣
outraged 憤怒
splendid resolve 輝煌的決心
great pride 感到非常自豪
philosophies 哲學
captivated 迷住
infiltrate 浸潤
escape route 逃生路線
reckless 魯莽
stronghold 據點
tendency 趨勢
intruders 入侵者
enhanced 增強
afford 給予
decrypt 解碼
efficient 高效
operate 操作
multitudes 眾人
association 協會
faith 信仰
coordination 協調
precisely 恰恰
entrusted 委託
envious 羨慕
tournament 比賽
fate 命運
destiny 命運
miracle 奇蹟
legendary 傳奇的
constants 常量
confidence 置信度
invincible 不可戰勝的
appointment 約定
vengeance 復仇
grant 發放
adjustment 調整
intense 激烈
impact 碰撞
sufficient 足夠
convey 傳達
elegance 優雅
dodged 迴避
authorized 合法
rookies 新秀
tourney 比武
bluffing 唬人
peerless 無比
distracted 分心
muttering 喃喃
analyzed 分析
industrial 產業
complex 複雜
aggressively 積極
simultaneously 同時
fortified 強化
retreat 撤退
condition 條件
trident 三叉戟
climax 高潮
guts 膽量
injury 傷
unrestrained 自在
abundance 豐富
newbie 新手
destructive 有害
appetite 食慾
residents 居民
engaged 訂婚
mistress 情婦
biracial 混血兒
appointed 任命
convenient 方便
brawls 鬥毆事件
contestants 參賽者
judgement 判斷
initial 初始
fraud  舞弊
shreds 碎片
phantom 幻影
pawn 典當
screw 擰
conquer 征服
competing 競爭
capability 能力
apparent 明顯的
specimen 標本
coincidence 巧合
indeed 確實
guarantee 機制保障
consideration 考慮
confrontation對抗
essential必要
elected選
anticipated預期
sequel 續集
acquainted 熟悉
worrisome 令人擔憂
deliberate 商榷discuss
burdensome  沉重的
confessing 坦白
predetermined 预定的
configuration 配置
protagonist主角
concise 簡潔
aggregate 合計的
regional 區域性
associated 相關
credibility 可信度
annihilate 歼灭
flatter 奉承
ducts  管道
theater 剧院
suspicious 可疑的
scheme 方案
mobility 流动性
escort 护送
